id,name,category,member_count,last_message_date,flags
group_chat_47_20250519205332,Eco‑Warriors,entertainment,3,2025-05-19 20:53:32.253112+00:00,"no_last_message_date,low_engagement"
group_chat_48_20250519205357,Eco‑Warriors,entertainment,3,2025-05-19 20:53:57.560128+00:00,"duplicate,no_last_message_date,low_engagement"
group_chat_49_20250519205311,K‑Drama Heartthrobs,entertainment,4,2025-05-19 20:53:11.680958+00:00,"no_last_message_date,low_engagement"
group_chat_4_20250519210029,TikTok Titans,entertainment,6,2025-05-19 21:00:29.017857+00:00,"duplicate,no_last_message_date"
group_chat_50_20250519210007,K‑Drama Heartthrobs,entertainment,6,2025-05-19 21:00:07.845123+00:00,"duplicate,no_last_message_date"
group_chat_51_20250519205911,Classic Disney Characters,entertainment,8,2025-08-12 23:31:15.282295+00:00,no_last_message_date
group_chat_52_20250519210002,NBA Young Stars,entertainment,6,2025-05-19 21:00:02.213692+00:00,no_last_message_date
group_chat_53_20250519205327,2000s Comeback Stars,entertainment,4,2025-05-19 20:53:27.415917+00:00,"no_last_message_date,low_engagement"
group_chat_54_20250519205259,2000s Comeback Stars,entertainment,4,2025-05-19 20:52:59.451143+00:00,"duplicate,no_last_message_date,low_engagement"
group_chat_55_20250519205334,Extreme Sports & Alt Athletics,sports,3,2025-05-19 20:53:34.435793+00:00,"no_last_message_date,low_engagement"
group_chat_56_20250519205946,Extreme Sports & Alt Athletics,sports,6,2025-05-19 20:59:46.237902+00:00,"duplicate,no_last_message_date"
group_chat_57_20250519205405,Video Game Legends: Power-Up Poll,entertainment,11,2025-09-19 00:17:23.519590+00:00,no_last_message_date
group_chat_58_20250519210021,Video Game Legends,entertainment,6,2025-05-19 21:00:21.608941+00:00,no_last_message_date
group_chat_59_20250519205352,Virtual Influencers & AI Figures,entertainment,3,2025-07-20 23:55:46.292973+00:00,"no_last_message_date,low_engagement"
group_chat_5_20250519205336,Marvel Cinematic Heroes,entertainment,3,2025-05-19 20:53:36.435595+00:00,"no_last_message_date,low_engagement"
group_chat_60_20250519205909,Virtual Influencers & AI Figures,entertainment,6,2025-05-19 20:59:09.380288+00:00,"duplicate,no_last_message_date"
group_chat_6_20250519205938,Marvel Cinematic Heroes,entertainment,6,2025-05-19 20:59:38.083951+00:00,"duplicate,no_last_message_date"
group_chat_7_20250519210005,Anime Protagonists,entertainment,10,2025-09-03 17:14:16.457388+00:00,no_last_message_date
group_chat_8_20250519205301,Anime Protagonists,entertainment,3,2025-05-19 20:53:01.545327+00:00,"duplicate,no_last_message_date,low_engagement"
group_chat_9_20250519205943,Streaming‑Hit Musicians,entertainment,8,2025-05-19 20:59:43.551791+00:00,"duplicate,no_last_message_date"
